"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-01-31";"783.849";"863.99995";"777";"863.99995";"51202.89746207";"61.60200033";"125";"831.18887678"
"ACMFT";"2022-01-31";"21.36001";"21.4536";"21.36";"22.48694";"2695.35519601";"124.58233107";"15";"21.63513214"
"ADA";"2022-01-31";"5.56978";"5.58099";"5.51001";"5.75";"506933.08233326";"90716.25384587";"1140";"5.58811746"
"ALCX";"2022-01-31";"873";"900.00022";"865.01008";"935.99995";"27810.84758187";"30.82572961";"67";"902.19592313"
"ALGO";"2022-01-31";"5";"5.13999999";"4.96";"5.29";"93598.34825466";"18503.62270636";"311";"5.05837963"
"ALICE";"2022-01-31";"35.17069999";"37.68562";"35.13913";"38.15994";"9291.27906518";"253.92266945";"38";"36.59097899"
"ALLFT";"2022-01-31";"2.47";"2.51974";"2.45000999";"2.64998999";"2656.23472094";"1065.26438998";"21";"2.49349808"
"AMFT";"2022-01-31";"5.43011";"5.68";"5.43011";"5.70989";"3362.26196998";"594.02786682";"23";"5.66010814"
"AMP";"2022-01-31";"0.155";"0.16295";"0.15";"0.1713";"43185.75427324";"268070.24238308";"336";"0.16109865"
"ANKR";"2022-01-31";"0.42";"0.43082";"0.41";"0.43371";"147343.21496416";"349259.33045470";"252";"0.42187338"
"ARGFT";"2022-01-31";"10.09999";"9.36999999";"9.16";"10.1";"9626.68058794";"987.41712329";"48";"9.74935552"
"ASRFT";"2022-01-31";"16.14999999";"15.94313";"15.90915";"17.14318";"2122.11949852";"127.37039978";"13";"16.66100995"
"ATMFT";"2022-01-31";"29.93995";"28.3";"27.5111";"29.93995";"3819.43548811";"133.72759498";"12";"28.56131143"
"ATOM";"2022-01-31";"148";"153.00673";"143";"163";"360121.98603031";"2380.68864517";"605";"151.26798994"
"AUDIO";"2022-01-31";"4.675";"5.01980999";"4.67";"5.08";"50977.15670084";"10531.30733611";"80";"4.84053452"
"AVAX";"2022-01-31";"376.49629";"375.58496";"352.08184";"384.99989";"121595.61727744";"326.16192200";"417";"372.80752005"
"AXS";"2022-01-31";"275.51714999";"282.764";"271.165";"284.325";"396918.63234911";"1428.73496235";"554";"277.81124057"
"BAL";"2022-01-31";"63";"65.649";"63";"65.8368";"6315.17625400";"98.60543402";"19";"64.04491108"
"BAND";"2022-01-31";"17.87675";"18.97036";"17.81125";"19.2011";"5508.43215824";"300.07235629";"23";"18.35701304"
"BARFT";"2022-01-31";"33.99995";"34.39994999";"32.44944";"34.39994999";"5204.28624774";"155.96263510";"20";"33.36880172"
"BAT";"2022-01-31";"4.46469";"4.52306";"4.43793";"4.55708999";"14855.55663058";"3291.50123413";"46";"4.51330732"
"BCH";"2022-01-31";"1530.63";"1523.36002";"1503.00011";"1549.82293";"121256.42080413";"79.50977817";"366";"1525.05042266"
"BNT";"2022-01-31";"13.43294";"13.99";"12.705";"13.99";"7134.98362050";"537.44961213";"34";"13.27563265"
"BTC";"2022-01-31";"200864.73871";"205509.09642";"200527.6998754";"207219.99999";"11333289.02593752";"55.61605127";"5440";"203777.30470143"
"CAIFT";"2022-01-31";"3.3899";"3.59929";"3.19";"4.795412";"8492.35199996";"2192.67879236";"61";"3.87304881"
"CHZ";"2022-01-31";"0.95064999";"1.0195";"0.94639999";"1.02";"1000852.88232735";"1005212.58743126";"1003";"0.9956629"
"CITYFT";"2022-01-31";"49.99023";"52";"49.99023";"54.34";"17788.18167023";"343.43722666";"45";"51.79456474"
"COMP";"2022-01-31";"624.633";"652.93025";"613.734";"656.17199";"10533.42504024";"16.88476076";"32";"623.84212545"
"CRV";"2022-01-31";"16.3";"17.78365";"16.00005";"17.97854999";"241202.40067555";"14072.73238313";"232";"17.13969925"
"CTSI";"2022-01-31";"2.46";"2.42004999";"2.20003";"2.56999999";"75751.68743300";"30978.83955529";"145";"2.44527195"
"CVX";"2022-01-31";"136.10150999";"142.97999999";"136.10150999";"148";"42086.91903030";"295.07973069";"85";"142.6289733"
"DAI";"2022-01-31";"5.44497";"5.35493";"5.31235";"5.44497";"18790.73877361";"3483.12812739";"32";"5.39478827"
"DOGE";"2022-01-31";"0.75";"0.75813";"0.74552101";"0.76";"170934.45161858";"226648.76469497";"752";"0.75418214"
"DOT";"2022-01-31";"95.15230001";"103.20042";"85";"104.99989";"268616.96462965";"2711.17969829";"733";"99.07752142"
"DYDX";"2022-01-31";"30.38042";"30.85227";"30";"32.69994";"12830.45435074";"416.37163360";"41";"30.81490984"
"ENJ";"2022-01-31";"9.51437";"9.98999998";"9.37065001";"10.19994";"110697.95792246";"11138.66103424";"184";"9.93817457"
"ENS";"2022-01-31";"99";"107.35005";"96";"112.99983";"82481.30055169";"773.28382623";"155";"106.66368253"
"ETH";"2022-01-31";"13695.0999";"14497.99394";"13561.70442";"14497.99651";"4204278.22717843";"297.31941717";"2781";"14140.61102095"
"FET";"2022-01-31";"1.7395";"1.71005";"1.60071";"1.77822";"13963.68354157";"8092.42021355";"103";"1.72552625"
"FIL";"2022-01-31";"106.02772";"115.44751";"99.25";"128.5";"62694.21302058";"560.78106346";"211";"111.79802084"
"GALA";"2022-01-31";"1.00798";"1.06814";"0.99105";"1.079";"206351.20994058";"197658.97657756";"597";"1.0439759"
"GALFT";"2022-01-31";"15.28933";"14.89006";"14.15005";"16";"4477.00174451";"296.17997849";"22";"15.11581494"
"GALOFT";"2022-01-31";"3.9";"3.89";"3.47881";"3.91";"11752.28395223";"3123.14203552";"89";"3.76296813"
"GRT";"2022-01-31";"2.1";"2.21593";"2.08296";"2.21593";"31098.83218418";"14289.71227185";"90";"2.17630919"
"ICP";"2022-01-31";"102.84";"108.36";"101.84";"108.96233";"70480.19676446";"665.92388047";"131";"105.83821789"
"IMOB02";"2022-01-31";"100";"100";"100";"100";"100.00000000";"1.00000000";"1";"100"
"IMX";"2022-01-31";"14.6388";"14.8706";"13.15005";"14.89995";"16317.85408758";"1150.85923155";"83";"14.1788445"
"INTERFT";"2022-01-31";"39.97";"40";"36.00005";"40";"1617.74225582";"43.09124808";"25";"37.54224646"
"JUVFT";"2022-01-31";"33.71994";"34";"33.01254";"35.69955";"5616.66761845";"165.29658303";"19";"33.97933287"
"KNC";"2022-01-31";"9.25";"10.14629";"9.19952";"10.2989";"67739.89990892";"6769.69077904";"195";"10.00635067"
"LINK";"2022-01-31";"92.46864";"92.97854";"90.36374";"95.2913";"290517.55421674";"3148.49797584";"390";"92.27179323"
"LPT";"2022-01-31";"147.47";"149.81962999";"133.32167999";"149.81995";"13829.35201428";"95.18672462";"43";"145.28656248"
"LRC";"2022-01-31";"5.08005";"5.26077999";"5.08";"5.5499";"16390.65769261";"3058.14370099";"52";"5.35967544"
"LTC";"2022-01-31";"573.99650999";"585.96993999";"569.21006";"592.59787999";"491263.59169234";"846.32578992";"583";"580.46629033"
"MANA";"2022-01-31";"13.71000001";"15.09905";"13.61";"15.40309";"1001679.68938711";"68699.01769647";"1204";"14.58069886"
